G0,2,1,3,161,choosy,single
G1,4,8,1,763,Desperate,single
G2,10,7,3,733,choosy,single
G3,9,2,2,587,choosy,single
G4,9,5,2,235,choosy,single
G5,6,5,2,217,choosy,single
G6,9,8,4,275,choosy,single
G7,4,10,2,597,choosy,single
G8,4,3,2,783,choosy,single
G9,3,7,3,258,normal,single
G10,10,1,1,244,Desperate,single
G11,8,9,3,243,choosy,single
G12,1,7,4,561,Desperate,single
G13,2,2,1,821,choosy,single
G14,1,10,3,264,normal,single
G15,2,1,4,307,choosy,single
G16,10,3,3,633,Desperate,single
G17,7,8,3,746,choosy,single
G18,9,10,2,307,normal,single
G19,5,8,4,355,normal,single
G20,10,4,2,388,choosy,single
G21,8,3,2,513,Desperate,single
G22,7,4,3,306,choosy,single
G23,4,7,3,740,Desperate,single
G24,5,3,4,410,choosy,single
G25,2,8,2,387,Desperate,single
G26,8,10,2,738,normal,single
G27,4,9,3,197,normal,single
G28,6,9,2,124,normal,single
G29,9,1,1,597,normal,single
G30,10,2,1,223,Desperate,single
G31,3,9,3,897,Desperate,single
G32,1,2,3,602,normal,single
G33,7,8,4,828,Desperate,single
G34,8,3,1,262,normal,single
G35,4,6,1,339,Desperate,single
G36,7,5,4,831,Desperate,single
G37,10,1,1,139,Desperate,single
G38,9,3,2,152,Desperate,single
G39,8,7,3,182,choosy,single
G40,6,3,2,808,choosy,single
G41,4,1,2,744,normal,single
G42,1,5,3,123,Desperate,single
G43,9,4,4,314,choosy,single
G44,5,10,1,248,choosy,single
G45,8,5,1,893,Desperate,single
G46,9,6,1,318,choosy,single
G47,5,1,2,418,normal,single
G48,1,4,2,577,Desperate,single
G49,3,1,4,667,normal,single
