            happy couple         
B26,                G26
B18,                G15
B2,                G1
B31,                G34
B40,                G49
B3,                G47
B11,                G11
B12,                G39
B28,                G45
B24,                G20
B8,                G13
B22,                G42
B1,                G16
B10,                G37
B4,                G21
B57,                G23
B13,                G44
B6,                G10
B33,                G46
B5,                G32
B37,                G48
B0,                G7
